historical_complaint_id,original_text,language,normalized_text_en,category,subcategory,city,ward,created_at,resolved_at,priority_label,actual_resolution_days,resolved_by_officer_id,resolution_summary,similarity_group_id,citizen_feedback_score
H0088,"Public safety complaint: stray dog issue in Ward-02, Puri.",en,"Public safety complaint: stray dog issue in Ward-02, Puri.",public_safety,stray dog issue,Puri,Ward-02,2025-08-20 07:59:00,2025-08-22 13:59:00,high,2,O044,Emergency crew resolved unsafe condition (high priority case),SIM_PUBLIC_SAFETY_03,3.6
H0089,"Immediate action needed for unsafe construction debris near Ward-19, Bhubaneswar.",en,"Immediate action needed for unsafe construction debris near Ward-19, Bhubaneswar.",public_safety,unsafe construction debris,Bhubaneswar,Ward-19,2025-09-13 12:12:00,2025-09-17 04:12:00,low,3,O012,Temporary barricading installed (low priority case),SIM_PUBLIC_SAFETY_04,4.8
H0090,"Citizens reported bus stop damage in Ward-08, Bhubaneswar.",en,"Citizens reported bus stop damage in Ward-08, Bhubaneswar.",transport,bus stop damage,Bhubaneswar,Ward-08,2025-10-14 06:21:00,2025-10-15 07:21:00,high,1,O016,Parking enforcement team dispatched (high priority case),SIM_TRANSPORT_02,5.0
H0091,"People in Ward-11, Sambalpur are facing power outage since 3 days.",en,"People in Ward-11, Sambalpur are facing power outage since 3 days.",electricity,power outage,Sambalpur,Ward-11,2025-10-05 08:12:00,2025-10-07 23:12:00,high,2,O051,Street light circuit replaced (high priority case),SIM_ELECTRICITY_01,3.1
H0092,"illegal dumping observed in Ward-10, Puri.",en,"illegal dumping observed in Ward-10, Puri.",health,illegal dumping,Puri,Ward-10,2025-12-02 02:16:00,2025-12-05 19:16:00,medium,3,O046,Stagnant water removed (medium priority case),SIM_HEALTH_03,3.6
H0093,"road signage missing at junction in Ward-01, Bhubaneswar.",en,"road signage missing at junction in Ward-01, Bhubaneswar.",transport,road signage missing,Bhubaneswar,Ward-01,2025-08-31 14:23:00,2025-09-01 16:23:00,high,1,O015,Parking enforcement team dispatched (high priority case),SIM_TRANSPORT_03,4.6
H0094,Ward-01 ଅଞ୍ଚଳରେ ବିଦ୍ୟୁତ ବନ୍ଦ ପଛଲା 1 ଦିନ ଧରି ରହିଛି।,or,"power outage reported in Ward-01, Bhubaneswar for 1 day.",electricity,power outage,Bhubaneswar,Ward-01,2025-11-08 19:40:00,2025-11-13 09:40:00,low,4,O003,Transformer maintenance completed (low priority case),SIM_ELECTRICITY_01,3.2
H0095,"Ward-05, Bhubaneswar ରେ ପାଣି ଯୋଗାଣ ବନ୍ଦ ସମସ୍ୟା ହେଉଛି।",or,There is no water supply near Ward-05 in Bhubaneswar since 2 hours.,water,no water supply,Bhubaneswar,Ward-05,2025-11-26 09:14:00,2025-11-27 15:14:00,high,1,O001,Contamination source flushed (high priority case),SIM_WATER_02,3.2
H0096,ରାସ୍ତା ନଷ୍ଟ ଯୋଗୁଁ ଲୋକମାନେ ଅସୁବିଧାରେ ଅଛନ୍ତି।,or,"road damage on main road of Ward-15, Puri.",roads,road damage,Puri,Ward-15,2025-11-24 18:37:00,2025-11-30 19:37:00,medium,6,O039,Temporary patch work completed (medium priority case),SIM_ROADS_02,4.0
H0097,"dead animal pickup in Ward-05, Bhubaneswar for the last 3 days.",en,"dead animal pickup in Ward-05, Bhubaneswar for the last 3 days.",sanitation,dead animal pickup,Bhubaneswar,Ward-05,2025-08-22 12:44:00,2025-08-26 14:44:00,medium,4,O005,Garbage removed and area cleaned (medium priority case),SIM_SANITATION_03,4.7
H0098,"Ward-21, Cuttack में मरे जानवर को नहीं उठाया गया की समस्या बनी हुई है।",hi,"dead animal pickup in Ward-21, Cuttack for the last 2 days.",sanitation,dead animal pickup,Cuttack,Ward-21,2025-12-20 02:22:00,2025-12-21 09:22:00,medium,1,O022,Sanitation team dispatched (medium priority case),SIM_SANITATION_03,4.8
H0099,"blocked drain near Ward-06, Puri after rain.",en,"blocked drain near Ward-06, Puri after rain.",drainage,blocked drain,Puri,Ward-06,2025-10-13 18:05:00,2025-10-20 08:05:00,medium,6,O041,Manhole cover replaced (medium priority case),SIM_DRAINAGE_01,4.3
H0100,गिरा हुआ पेड़ के लिए तुरंत कार्रवाई चाहिए।,hi,"fallen tree creating danger in Ward-18, Puri.",public_safety,fallen tree,Puri,Ward-18,2025-12-17 18:30:00,2025-12-20 05:30:00,medium,2,O044,Emergency crew resolved unsafe condition (medium priority case),SIM_PUBLIC_SAFETY_01,4.5
H0101,"Citizens reported road damage near school in Ward-06, Puri.",en,"Citizens reported road damage near school in Ward-06, Puri.",roads,road damage,Puri,Ward-06,2025-09-25 17:59:00,2025-10-03 05:59:00,medium,7,O040,Work order raised for full resurfacing (medium priority case),SIM_ROADS_02,3.9
H0102,"mosquito breeding observed in Ward-21, Cuttack.",en,"mosquito breeding observed in Ward-21, Cuttack.",health,mosquito breeding,Cuttack,Ward-21,2025-10-14 12:50:00,2025-10-18 17:50:00,medium,4,O029,Waste dumping site cleaned (medium priority case),SIM_HEALTH_01,4.9
H0103,"People in Ward-03, Cuttack are facing sparking wire since 5 hours.",en,"People in Ward-03, Cuttack are facing sparking wire since 5 hours.",electricity,sparking wire,Cuttack,Ward-03,2025-10-25 06:25:00,2025-10-26 11:25:00,high,1,O019,Transformer maintenance completed (high priority case),SIM_ELECTRICITY_04,3.6
H0104,"illegal parking at junction in Ward-27, Cuttack.",en,"illegal parking at junction in Ward-27, Cuttack.",transport,illegal parking,Cuttack,Ward-27,2025-08-11 13:22:00,2025-08-18 16:22:00,low,7,O031,Bus stop maintenance request completed (low priority case),SIM_TRANSPORT_04,4.4
H0105,"Please address unclean public toilet in Ward-06, Puri.",en,"Please address unclean public toilet in Ward-06, Puri.",sanitation,unclean public toilet,Puri,Ward-06,2025-08-28 10:21:00,2025-09-01 19:21:00,medium,4,O038,Sanitation team dispatched (medium priority case),SIM_SANITATION_04,3.9
H0106,"dead animal pickup in Ward-19, Bhubaneswar for the last 1 week.",en,"dead animal pickup in Ward-19, Bhubaneswar for the last 1 week.",sanitation,dead animal pickup,Bhubaneswar,Ward-19,2025-11-05 20:30:00,2025-11-08 22:30:00,medium,3,O005,Bin cleared and collection schedule updated (medium priority case),SIM_SANITATION_03,3.7
H0107,"Need urgent repair for road damage in Ward-14, Cuttack.",en,"Need urgent repair for road damage in Ward-14, Cuttack.",roads,road damage,Cuttack,Ward-14,2025-09-18 06:35:00,2025-09-30 16:35:00,low,12,O024,Work order raised for full resurfacing (low priority case),SIM_ROADS_02,4.4
H0108,ଖୋଲା ବିଦ୍ୟୁତ ବକ୍ସ ପାଇଁ ତୁରନ୍ତ କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଦରକାର।,or,"open electric box creating danger in Ward-27, Cuttack.",public_safety,open electric box,Cuttack,Ward-27,2025-11-05 12:30:00,2025-11-08 12:30:00,medium,3,O027,Temporary barricading installed (medium priority case),SIM_PUBLIC_SAFETY_02,4.8
H0109,"Please address dead animal pickup in Ward-20, Sambalpur.",en,"Please address dead animal pickup in Ward-20, Sambalpur.",sanitation,dead animal pickup,Sambalpur,Ward-20,2025-12-12 01:12:00,2025-12-13 09:12:00,medium,1,O054,Garbage removed and area cleaned (medium priority case),SIM_SANITATION_03,3.7
H0110,बस स्टॉप खराब के कारण यातायात प्रभावित है।,hi,"bus stop damage at junction in Ward-05, Bhubaneswar.",transport,bus stop damage,Bhubaneswar,Ward-05,2025-09-16 22:20:00,2025-09-22 13:20:00,medium,5,O016,Parking enforcement team dispatched (medium priority case),SIM_TRANSPORT_02,4.8
H0111,"Citizens reported pothole near school in Ward-27, Cuttack.",en,"Citizens reported pothole near school in Ward-27, Cuttack.",roads,pothole,Cuttack,Ward-27,2025-10-04 13:27:00,2025-10-07 13:27:00,high,3,O023,Work order raised for full resurfacing (high priority case),SIM_ROADS_01,3.4
H0112,There is contaminated water near Ward-02 in Puri since 1 day.,en,There is contaminated water near Ward-02 in Puri since 1 day.,water,contaminated water,Puri,Ward-02,2025-11-16 04:24:00,2025-11-21 21:24:00,medium,5,O033,Contamination source flushed (medium priority case),SIM_WATER_04,3.9
H0113,"sparking wire reported in Ward-10, Puri for 5 hours.",en,"sparking wire reported in Ward-10, Puri for 5 hours.",electricity,sparking wire,Puri,Ward-10,2025-08-23 07:20:00,2025-08-25 07:20:00,medium,2,O036,Line fault repaired and supply restored (medium priority case),SIM_ELECTRICITY_04,4.7
H0114,ଘୁରୁଥିବା କୁକୁର ସମସ୍ୟା ପାଇଁ ତୁରନ୍ତ କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଦରକାର।,or,"stray dog issue creating danger in Ward-07, Sambalpur.",public_safety,stray dog issue,Sambalpur,Ward-07,2025-09-25 15:25:00,2025-09-29 20:25:00,medium,4,O060,Temporary barricading installed (medium priority case),SIM_PUBLIC_SAFETY_03,4.7
H0115,"blocked drain near Ward-08, Bhubaneswar after rain.",en,"blocked drain near Ward-08, Bhubaneswar after rain.",drainage,blocked drain,Bhubaneswar,Ward-08,2025-08-12 23:08:00,2025-08-17 03:08:00,medium,4,O009,Manhole cover replaced (medium priority case),SIM_DRAINAGE_01,3.3
H0116,"Urgent: transformer issue near market area of Ward-14, Cuttack.",en,"Urgent: transformer issue near market area of Ward-14, Cuttack.",electricity,transformer issue,Cuttack,Ward-14,2025-10-08 17:34:00,2025-10-11 18:34:00,medium,3,O019,Street light circuit replaced (medium priority case),SIM_ELECTRICITY_03,4.3
H0117,"garbage not collected in Ward-20, Sambalpur for the last 2 days.",en,"garbage not collected in Ward-20, Sambalpur for the last 2 days.",sanitation,garbage not collected,Sambalpur,Ward-20,2025-11-19 09:43:00,2025-11-21 02:43:00,high,1,O054,Garbage removed and area cleaned (high priority case),SIM_SANITATION_01,4.3
H0118,"traffic signal not working at junction in Ward-03, Cuttack.",en,"traffic signal not working at junction in Ward-03, Cuttack.",transport,traffic signal not working,Cuttack,Ward-03,2025-10-06 12:48:00,2025-10-14 00:48:00,low,7,O031,Parking enforcement team dispatched (low priority case),SIM_TRANSPORT_01,4.5
H0119,"Residents in Ward-16, Sambalpur are facing pipeline leakage for 5 hours.",en,"Residents in Ward-16, Sambalpur are facing pipeline leakage for 5 hours.",water,pipeline leakage,Sambalpur,Ward-16,2025-08-02 14:22:00,2025-08-05 16:22:00,medium,3,O049,Valve adjusted and water supply restored (medium priority case),SIM_WATER_01,4.0
H0120,"stagnant water observed in Ward-09, Cuttack.",en,"stagnant water observed in Ward-09, Cuttack.",health,stagnant water,Cuttack,Ward-09,2025-10-27 13:24:00,2025-11-02 18:24:00,low,6,O030,Waste dumping site cleaned (low priority case),SIM_HEALTH_02,3.5
H0121,"Immediate action needed for unsafe construction debris near Ward-14, Cuttack.",en,"Immediate action needed for unsafe construction debris near Ward-14, Cuttack.",public_safety,unsafe construction debris,Cuttack,Ward-14,2025-11-12 08:41:00,2025-11-15 00:41:00,high,2,O027,Hazard removed and area secured (high priority case),SIM_PUBLIC_SAFETY_04,3.4
H0122,"There is stagnant water near residential area in Ward-01, Bhubaneswar.",en,"There is stagnant water near residential area in Ward-01, Bhubaneswar.",health,stagnant water,Bhubaneswar,Ward-01,2025-11-10 14:52:00,2025-11-13 23:52:00,medium,3,O014,Stagnant water removed (medium priority case),SIM_HEALTH_02,3.1
H0123,"Complaint filed for blocked drain in Ward-09, Cuttack since 2 hours.",en,"Complaint filed for blocked drain in Ward-09, Cuttack since 2 hours.",drainage,blocked drain,Cuttack,Ward-09,2025-09-05 14:31:00,2025-09-08 02:31:00,high,2,O025,Waterlogging cleared with suction pump (high priority case),SIM_DRAINAGE_01,3.9
H0124,"Ward-16, Sambalpur में गंदा सार्वजनिक शौचालय की समस्या बनी हुई है।",hi,"unclean public toilet in Ward-16, Sambalpur for the last 3 days.",sanitation,unclean public toilet,Sambalpur,Ward-16,2025-11-14 13:06:00,2025-11-16 13:06:00,medium,2,O053,Sanitation team dispatched (medium priority case),SIM_SANITATION_04,3.1
H0125,"People are suffering due to sewer overflow in Ward-01, Bhubaneswar.",en,"People are suffering due to sewer overflow in Ward-01, Bhubaneswar.",drainage,sewer overflow,Bhubaneswar,Ward-01,2025-09-07 02:41:00,2025-09-08 08:41:00,medium,1,O009,Manhole cover replaced (medium priority case),SIM_DRAINAGE_03,4.8
H0126,"blocked drain near Ward-12, Bhubaneswar after rain.",en,"blocked drain near Ward-12, Bhubaneswar after rain.",drainage,blocked drain,Bhubaneswar,Ward-12,2025-09-15 05:29:00,2025-09-20 11:29:00,low,5,O010,Manhole cover replaced (low priority case),SIM_DRAINAGE_01,4.5
H0127,"Transport complaint: traffic signal not working near bus stand in Ward-05, Bhubaneswar.",en,"Transport complaint: traffic signal not working near bus stand in Ward-05, Bhubaneswar.",transport,traffic signal not working,Bhubaneswar,Ward-05,2025-09-16 23:17:00,2025-09-22 23:17:00,medium,6,O016,Parking enforcement team dispatched (medium priority case),SIM_TRANSPORT_01,4.0
H0128,"Ward-03, Cuttack में खराब फुटपाथ की मरम्मत चाहिए।",hi,"damaged footpath on main road of Ward-03, Cuttack.",roads,damaged footpath,Cuttack,Ward-03,2025-12-21 02:29:00,2025-12-26 15:29:00,high,5,O024,Temporary patch work completed (high priority case),SIM_ROADS_04,4.2
H0129,"Ward-08, Bhubaneswar ରେ ଟ୍ରାନ୍ସଫର୍ମାର ସମସ୍ୟା ଅଭିଯୋଗ ମିଳିଛି।",or,"transformer issue reported in Ward-08, Bhubaneswar for 2 days.",electricity,transformer issue,Bhubaneswar,Ward-08,2025-11-23 22:17:00,2025-11-25 04:17:00,high,1,O004,Transformer maintenance completed (high priority case),SIM_ELECTRICITY_03,3.9
H0130,Ward-19 इलाके में गंदा पानी पिछले 1 हफ्ते से है।,hi,There is contaminated water near Ward-19 in Bhubaneswar since 1 week.,water,contaminated water,Bhubaneswar,Ward-19,2025-08-16 11:38:00,2025-08-17 22:38:00,medium,1,O001,Valve adjusted and water supply restored (medium priority case),SIM_WATER_04,4.1
H0131,"Immediate action needed for open electric box near Ward-18, Puri.",en,"Immediate action needed for open electric box near Ward-18, Puri.",public_safety,open electric box,Puri,Ward-18,2025-10-03 21:29:00,2025-10-06 08:29:00,medium,2,O044,Hazard removed and area secured (medium priority case),SIM_PUBLIC_SAFETY_02,4.6
H0132,"There is smoke nuisance near residential area in Ward-11, Sambalpur.",en,"There is smoke nuisance near residential area in Ward-11, Sambalpur.",health,smoke nuisance,Sambalpur,Ward-11,2025-10-01 14:41:00,2025-10-04 04:41:00,high,2,O061,Waste dumping site cleaned (high priority case),SIM_HEALTH_04,4.7
H0133,"Ward-14, Cuttack में पानी की सप्लाई बंद की समस्या है।",hi,There is no water supply near Ward-14 in Cuttack since 1 day.,water,no water supply,Cuttack,Ward-14,2025-12-14 14:13:00,2025-12-18 02:13:00,medium,3,O017,Valve adjusted and water supply restored (medium priority case),SIM_WATER_02,4.8
H0134,"People in Ward-19, Bhubaneswar are facing power outage since 3 days.",en,"People in Ward-19, Bhubaneswar are facing power outage since 3 days.",electricity,power outage,Bhubaneswar,Ward-19,2025-09-09 01:43:00,2025-09-13 11:43:00,medium,4,O003,Line fault repaired and supply restored (medium priority case),SIM_ELECTRICITY_01,3.7
H0135,"Health-related complaint about smoke nuisance in Ward-18, Puri.",en,"Health-related complaint about smoke nuisance in Ward-18, Puri.",health,smoke nuisance,Puri,Ward-18,2025-11-19 06:29:00,2025-11-20 10:29:00,medium,1,O046,Vector control team sprayed area (medium priority case),SIM_HEALTH_04,4.4
H0136,"Ward-05, Bhubaneswar में ट्रैफिक सिग्नल बंद की समस्या है।",hi,"traffic signal not working at junction in Ward-05, Bhubaneswar.",transport,traffic signal not working,Bhubaneswar,Ward-05,2025-11-01 20:40:00,2025-11-03 23:40:00,high,2,O016,Signal repaired and restarted (high priority case),SIM_TRANSPORT_01,3.0
H0137,"Ward-06, Puri ରେ ଷ୍ଟ୍ରିଟ୍ ଲାଇଟ୍ ଖରାପ ଅଭିଯୋଗ ମିଳିଛି।",or,"street light failure reported in Ward-06, Puri for 1 week.",electricity,street light failure,Puri,Ward-06,2025-10-12 09:22:00,2025-10-14 21:22:00,high,2,O036,Transformer maintenance completed (high priority case),SIM_ELECTRICITY_02,4.2
H0138,"There is stagnant water near residential area in Ward-10, Puri.",en,"There is stagnant water near residential area in Ward-10, Puri.",health,stagnant water,Puri,Ward-10,2025-08-06 18:31:00,2025-08-09 04:31:00,medium,2,O046,Vector control team sprayed area (medium priority case),SIM_HEALTH_02,3.5
H0139,"mosquito breeding observed in Ward-20, Sambalpur.",en,"mosquito breeding observed in Ward-20, Sambalpur.",health,mosquito breeding,Sambalpur,Ward-20,2025-10-05 05:02:00,2025-10-10 20:02:00,medium,5,O062,Stagnant water removed (medium priority case),SIM_HEALTH_01,3.5
H0140,"People in Ward-05, Bhubaneswar are facing power outage since 2 days.",en,"People in Ward-05, Bhubaneswar are facing power outage since 2 days.",electricity,power outage,Bhubaneswar,Ward-05,2025-10-20 11:02:00,2025-10-24 21:02:00,medium,4,O003,Transformer maintenance completed (medium priority case),SIM_ELECTRICITY_01,4.6
H0141,"damaged footpath on main road of Ward-20, Sambalpur.",en,"damaged footpath on main road of Ward-20, Sambalpur.",roads,damaged footpath,Sambalpur,Ward-20,2025-10-16 05:04:00,2025-10-24 21:04:00,medium,8,O055,Work order raised for full resurfacing (medium priority case),SIM_ROADS_04,3.5
H0142,Ward-11 इलाके में पाइपलाइन लीकेज पिछले 3 दिन से है।,hi,There is pipeline leakage near Ward-11 in Sambalpur since 3 days.,water,pipeline leakage,Sambalpur,Ward-11,2025-12-25 01:10:00,2025-12-29 02:10:00,medium,4,O050,Contamination source flushed (medium priority case),SIM_WATER_01,3.7
H0143,"Complaint about overflowing bin near apartment block in Ward-01, Bhubaneswar.",en,"Complaint about overflowing bin near apartment block in Ward-01, Bhubaneswar.",sanitation,overflowing bin,Bhubaneswar,Ward-01,2025-12-17 01:41:00,2025-12-21 06:41:00,medium,4,O006,Garbage removed and area cleaned (medium priority case),SIM_SANITATION_02,3.6
H0144,"Public safety complaint: unsafe construction debris in Ward-27, Cuttack.",en,"Public safety complaint: unsafe construction debris in Ward-27, Cuttack.",public_safety,unsafe construction debris,Cuttack,Ward-27,2025-08-29 10:08:00,2025-08-30 14:08:00,high,1,O027,Temporary barricading installed (high priority case),SIM_PUBLIC_SAFETY_04,4.1
H0145,"illegal parking at junction in Ward-11, Sambalpur.",en,"illegal parking at junction in Ward-11, Sambalpur.",transport,illegal parking,Sambalpur,Ward-11,2025-08-19 12:26:00,2025-08-26 03:26:00,medium,6,O064,Bus stop maintenance request completed (medium priority case),SIM_TRANSPORT_04,3.9
H0146,"power outage reported in Ward-04, Sambalpur for 1 week.",en,"power outage reported in Ward-04, Sambalpur for 1 week.",electricity,power outage,Sambalpur,Ward-04,2025-12-28 19:08:00,2025-12-29 22:08:00,high,1,O052,Line fault repaired and supply restored (high priority case),SIM_ELECTRICITY_01,3.2
H0147,"Ward-21, Cuttack में टूटा डिवाइडर की मरम्मत चाहिए।",hi,"broken divider on main road of Ward-21, Cuttack.",roads,broken divider,Cuttack,Ward-21,2025-11-04 21:02:00,2025-11-12 04:02:00,medium,7,O023,Temporary patch work completed (medium priority case),SIM_ROADS_03,3.6
H0148,There is pipeline leakage near Ward-11 in Sambalpur since 2 hours.,en,There is pipeline leakage near Ward-11 in Sambalpur since 2 hours.,water,pipeline leakage,Sambalpur,Ward-11,2025-10-30 22:00:00,2025-11-03 07:00:00,high,3,O050,Valve adjusted and water supply restored (high priority case),SIM_WATER_01,4.8
H0149,"damaged footpath on main road of Ward-07, Sambalpur.",en,"damaged footpath on main road of Ward-07, Sambalpur.",roads,damaged footpath,Sambalpur,Ward-07,2025-11-03 18:40:00,2025-11-09 11:40:00,high,5,O055,Temporary patch work completed (high priority case),SIM_ROADS_04,4.3
H0150,"Ward-21, Cuttack में बिजली गुल की शिकायत है।",hi,"power outage reported in Ward-21, Cuttack for 5 hours.",electricity,power outage,Cuttack,Ward-21,2025-12-20 16:16:00,2025-12-23 05:16:00,high,2,O020,Street light circuit replaced (high priority case),SIM_ELECTRICITY_01,3.1
H0151,रुका हुआ पानी के कारण स्वास्थ्य जोखिम है।,hi,"stagnant water observed in Ward-02, Puri.",health,stagnant water,Puri,Ward-02,2025-12-27 07:14:00,2026-01-03 11:14:00,low,7,O046,Waste dumping site cleaned (low priority case),SIM_HEALTH_02,4.9
H0152,"Please address dead animal pickup in Ward-07, Sambalpur.",en,"Please address dead animal pickup in Ward-07, Sambalpur.",sanitation,dead animal pickup,Sambalpur,Ward-07,2025-08-12 16:35:00,2025-08-15 18:35:00,medium,3,O053,Garbage removed and area cleaned (medium priority case),SIM_SANITATION_03,4.5
H0153,"Immediate action needed for unsafe construction debris near Ward-08, Bhubaneswar.",en,"Immediate action needed for unsafe construction debris near Ward-08, Bhubaneswar.",public_safety,unsafe construction debris,Bhubaneswar,Ward-08,2025-11-12 16:20:00,2025-11-16 01:20:00,medium,3,O012,Temporary barricading installed (medium priority case),SIM_PUBLIC_SAFETY_04,4.0
H0154,"Ward-14, Cuttack में ट्रैफिक सिग्नल बंद की समस्या है।",hi,"traffic signal not working at junction in Ward-14, Cuttack.",transport,traffic signal not working,Cuttack,Ward-14,2025-09-16 16:55:00,2025-09-23 01:55:00,low,6,O031,Bus stop maintenance request completed (low priority case),SIM_TRANSPORT_01,4.9
H0155,"Need urgent repair for road damage in Ward-18, Puri.",en,"Need urgent repair for road damage in Ward-18, Puri.",roads,road damage,Puri,Ward-18,2025-09-17 21:16:00,2025-09-23 10:16:00,high,5,O040,Divider repaired and marked (high priority case),SIM_ROADS_02,3.4
H0156,Ward-09 ଅଞ୍ଚଳରେ ସିୱର ଓଭରଫ୍ଲୋ ସମସ୍ୟା ହେଉଛି।,or,"sewer overflow near Ward-09, Cuttack after rain.",drainage,sewer overflow,Cuttack,Ward-09,2025-11-08 15:33:00,2025-11-13 20:33:00,medium,5,O025,Manhole cover replaced (medium priority case),SIM_DRAINAGE_03,4.4
H0157,"Need urgent repair for broken divider in Ward-06, Puri.",en,"Need urgent repair for broken divider in Ward-06, Puri.",roads,broken divider,Puri,Ward-06,2025-10-07 05:30:00,2025-10-14 13:30:00,low,7,O040,Work order raised for full resurfacing (low priority case),SIM_ROADS_03,4.1
H0158,"People are suffering due to blocked drain in Ward-27, Cuttack.",en,"People are suffering due to blocked drain in Ward-27, Cuttack.",drainage,blocked drain,Cuttack,Ward-27,2025-12-17 22:59:00,2025-12-21 06:59:00,low,3,O026,Waterlogging cleared with suction pump (low priority case),SIM_DRAINAGE_01,4.9
H0159,"illegal dumping observed in Ward-06, Puri.",en,"illegal dumping observed in Ward-06, Puri.",health,illegal dumping,Puri,Ward-06,2025-10-06 09:20:00,2025-10-07 12:20:00,medium,1,O046,Vector control team sprayed area (medium priority case),SIM_HEALTH_03,3.2
H0160,There is low pressure near Ward-01 in Bhubaneswar since 3 days.,en,There is low pressure near Ward-01 in Bhubaneswar since 3 days.,water,low pressure,Bhubaneswar,Ward-01,2025-11-26 13:27:00,2025-11-28 19:27:00,medium,2,O001,Contamination source flushed (medium priority case),SIM_WATER_03,4.1
H0161,"transformer issue reported in Ward-08, Bhubaneswar for 2 days.",en,"transformer issue reported in Ward-08, Bhubaneswar for 2 days.",electricity,transformer issue,Bhubaneswar,Ward-08,2025-11-03 16:22:00,2025-11-05 23:22:00,high,2,O003,Line fault repaired and supply restored (high priority case),SIM_ELECTRICITY_03,4.1
H0162,"damaged footpath on main road of Ward-06, Puri.",en,"damaged footpath on main road of Ward-06, Puri.",roads,damaged footpath,Puri,Ward-06,2025-11-14 04:17:00,2025-11-18 19:17:00,medium,4,O039,Temporary patch work completed (medium priority case),SIM_ROADS_04,3.5
H0163,खराब फुटपाथ के कारण लोगों को दिक्कत हो रही है।,hi,"damaged footpath on main road of Ward-07, Sambalpur.",roads,damaged footpath,Sambalpur,Ward-07,2025-08-19 16:00:00,2025-08-27 23:00:00,low,8,O055,Work order raised for full resurfacing (low priority case),SIM_ROADS_04,4.2
H0164,"Transport complaint: bus stop damage near bus stand in Ward-07, Sambalpur.",en,"Transport complaint: bus stop damage near bus stand in Ward-07, Sambalpur.",transport,bus stop damage,Sambalpur,Ward-07,2025-08-27 00:47:00,2025-09-01 12:47:00,medium,5,O064,Bus stop maintenance request completed (medium priority case),SIM_TRANSPORT_02,3.0
H0165,"Need urgent repair for damaged footpath in Ward-15, Puri.",en,"Need urgent repair for damaged footpath in Ward-15, Puri.",roads,damaged footpath,Puri,Ward-15,2025-11-14 10:24:00,2025-11-23 00:24:00,medium,8,O040,Temporary patch work completed (medium priority case),SIM_ROADS_04,3.7
H0166,"smoke nuisance observed in Ward-05, Bhubaneswar.",en,"smoke nuisance observed in Ward-05, Bhubaneswar.",health,smoke nuisance,Bhubaneswar,Ward-05,2025-09-12 19:45:00,2025-09-17 04:45:00,medium,4,O014,Stagnant water removed (medium priority case),SIM_HEALTH_04,4.2
H0167,Ward-20 इलाके में पानी की सप्लाई बंद पिछले 1 हफ्ते से है।,hi,There is no water supply near Ward-20 in Sambalpur since 1 week.,water,no water supply,Sambalpur,Ward-20,2025-10-01 17:24:00,2025-10-03 17:24:00,high,2,O049,Valve adjusted and water supply restored (high priority case),SIM_WATER_02,4.4
H0168,"Urgent: transformer issue near market area of Ward-16, Sambalpur.",en,"Urgent: transformer issue near market area of Ward-16, Sambalpur.",electricity,transformer issue,Sambalpur,Ward-16,2025-09-07 18:54:00,2025-09-09 12:54:00,high,1,O052,Transformer maintenance completed (high priority case),SIM_ELECTRICITY_03,4.2
H0169,There is low pressure near Ward-21 in Cuttack since 5 hours.,en,There is low pressure near Ward-21 in Cuttack since 5 hours.,water,low pressure,Cuttack,Ward-21,2025-11-03 17:03:00,2025-11-05 01:03:00,high,1,O017,Contamination source flushed (high priority case),SIM_WATER_03,4.9
H0170,"Please address overflowing bin in Ward-11, Sambalpur.",en,"Please address overflowing bin in Ward-11, Sambalpur.",sanitation,overflowing bin,Sambalpur,Ward-11,2025-10-10 06:19:00,2025-10-13 11:19:00,low,3,O053,Garbage removed and area cleaned (low priority case),SIM_SANITATION_02,3.5
H0171,"Residents in Ward-19, Bhubaneswar are facing no water supply for 3 days.",en,"Residents in Ward-19, Bhubaneswar are facing no water supply for 3 days.",water,no water supply,Bhubaneswar,Ward-19,2025-09-10 16:01:00,2025-09-13 22:01:00,medium,3,O002,Contamination source flushed (medium priority case),SIM_WATER_02,3.2
H0172,Ward-05 ଅଞ୍ଚଳରେ ନାଳା ଜାମ୍ ସମସ୍ୟା ହେଉଛି।,or,"blocked drain near Ward-05, Bhubaneswar after rain.",drainage,blocked drain,Bhubaneswar,Ward-05,2025-08-27 10:34:00,2025-08-30 15:34:00,medium,3,O010,Drain cleaned and flow restored (medium priority case),SIM_DRAINAGE_01,3.7
H0173,"blocked drain near Ward-27, Cuttack after rain.",en,"blocked drain near Ward-27, Cuttack after rain.",drainage,blocked drain,Cuttack,Ward-27,2025-10-20 10:09:00,2025-10-24 14:09:00,low,4,O026,Manhole cover replaced (low priority case),SIM_DRAINAGE_01,4.7
H0174,"illegal parking at junction in Ward-06, Puri.",en,"illegal parking at junction in Ward-06, Puri.",transport,illegal parking,Puri,Ward-06,2025-11-18 14:38:00,2025-11-19 15:38:00,high,1,O047,Bus stop maintenance request completed (high priority case),SIM_TRANSPORT_04,3.3
H0175,गलत पार्किंग के कारण यातायात प्रभावित है।,hi,"illegal parking at junction in Ward-18, Puri.",transport,illegal parking,Puri,Ward-18,2025-11-19 20:33:00,2025-11-25 07:33:00,medium,5,O048,Bus stop maintenance request completed (medium priority case),SIM_TRANSPORT_04,4.0
