complaint_id,input_type,original_text,language,normalized_text_en,category,subcategory,city,ward,created_at,priority_label,eta_days_label,assigned_officer_id,assigned_department,citizen_sentiment_score,attachments_count,status
C0187,text,"Citizens reported broken divider near school in Ward-07, Sambalpur.",en,"Citizens reported broken divider near school in Ward-07, Sambalpur.",roads,broken divider,Sambalpur,Ward-07,2026-02-03 10:35:00,low,6,O055,Roads & Works,0.45,3,resolved
C0188,text,"smoke nuisance observed in Ward-01, Bhubaneswar.",en,"smoke nuisance observed in Ward-01, Bhubaneswar.",health,smoke nuisance,Bhubaneswar,Ward-01,2026-02-18 08:49:00,medium,2,O013,Public Health,0.88,4,submitted
C0189,audio,"Citizens reported bus stop damage in Ward-04, Sambalpur.",en,"Citizens reported bus stop damage in Ward-04, Sambalpur.",transport,bus stop damage,Sambalpur,Ward-04,2026-02-04 02:56:00,high,1,O064,Traffic & Transport,0.39,2,resolved
C0190,text,"Immediate action needed for stray dog issue near Ward-08, Bhubaneswar.",en,"Immediate action needed for stray dog issue near Ward-08, Bhubaneswar.",public_safety,stray dog issue,Bhubaneswar,Ward-08,2026-03-05 19:28:00,low,3,O011,Public Safety,0.77,0,submitted
C0191,text,"Health-related complaint about illegal dumping in Ward-21, Cuttack.",en,"Health-related complaint about illegal dumping in Ward-21, Cuttack.",health,illegal dumping,Cuttack,Ward-21,2026-02-04 18:08:00,low,6,O029,Public Health,0.22,1,resolved
C0192,text,"Residents in Ward-21, Cuttack are facing pipeline leakage for 1 week.",en,"Residents in Ward-21, Cuttack are facing pipeline leakage for 1 week.",water,pipeline leakage,Cuttack,Ward-21,2026-02-13 10:25:00,high,2,O018,Water Supply,0.73,3,in_progress
C0193,text,"Citizens reported road signage missing in Ward-27, Cuttack.",en,"Citizens reported road signage missing in Ward-27, Cuttack.",transport,road signage missing,Cuttack,Ward-27,2026-01-25 15:01:00,low,4,O032,Traffic & Transport,0.33,1,resolved
C0194,text,"Need urgent repair for damaged footpath in Ward-14, Cuttack.",en,"Need urgent repair for damaged footpath in Ward-14, Cuttack.",roads,damaged footpath,Cuttack,Ward-14,2026-02-25 13:11:00,low,9,O023,Roads & Works,0.37,2,in_progress
C0195,text,"Health-related complaint about illegal dumping in Ward-15, Puri.",en,"Health-related complaint about illegal dumping in Ward-15, Puri.",health,illegal dumping,Puri,Ward-15,2026-02-23 13:25:00,high,3,O046,Public Health,0.21,3,in_progress
C0196,text,"Complaint filed for manhole cover broken in Ward-02, Puri since 1 day.",en,"Complaint filed for manhole cover broken in Ward-02, Puri since 1 day.",drainage,manhole cover broken,Puri,Ward-02,2026-03-03 00:57:00,low,5,O042,Drainage,0.35,1,resolved
C0197,text,"Ward-07, Sambalpur में गिरा हुआ पेड़ से खतरा है।",hi,"fallen tree creating danger in Ward-07, Sambalpur.",public_safety,fallen tree,Sambalpur,Ward-07,2026-02-04 20:24:00,low,6,O060,Public Safety,0.75,1,submitted
C0198,video,"Citizens reported road signage missing in Ward-14, Cuttack.",en,"Citizens reported road signage missing in Ward-14, Cuttack.",transport,road signage missing,Cuttack,Ward-14,2026-01-12 06:47:00,low,5,O031,Traffic & Transport,0.83,1,resolved
C0199,text,"People in Ward-06, Puri are facing transformer issue since 1 week.",en,"People in Ward-06, Puri are facing transformer issue since 1 week.",electricity,transformer issue,Puri,Ward-06,2026-02-20 07:18:00,low,4,O036,Electrical,0.57,5,in_progress
C0200,text,"Ward-05, Bhubaneswar में ट्रैफिक सिग्नल बंद की समस्या है।",hi,"traffic signal not working at junction in Ward-05, Bhubaneswar.",transport,traffic signal not working,Bhubaneswar,Ward-05,2026-01-14 04:08:00,medium,2,O016,Traffic & Transport,0.52,3,submitted
C0201,video,"Ward-21, Cuttack में ट्रांसफॉर्मर खराब की शिकायत है।",hi,"transformer issue reported in Ward-21, Cuttack for 5 hours.",electricity,transformer issue,Cuttack,Ward-21,2026-02-08 21:17:00,high,1,O019,Electrical,0.8,1,in_progress
C0202,video,"Ward-19, Bhubaneswar में गंदा सार्वजनिक शौचालय की समस्या बनी हुई है।",hi,"unclean public toilet in Ward-19, Bhubaneswar for the last 2 days.",sanitation,unclean public toilet,Bhubaneswar,Ward-19,2026-01-01 17:02:00,medium,3,O006,Sanitation,0.49,2,in_progress
C0203,audio,"Residents in Ward-03, Cuttack are facing no water supply for 1 week.",en,"Residents in Ward-03, Cuttack are facing no water supply for 1 week.",water,no water supply,Cuttack,Ward-03,2026-01-10 02:24:00,low,4,O018,Water Supply,0.44,0,submitted
C0204,text,"Citizens reported road signage missing in Ward-18, Puri.",en,"Citizens reported road signage missing in Ward-18, Puri.",transport,road signage missing,Puri,Ward-18,2026-01-17 09:10:00,low,6,O048,Traffic & Transport,0.38,1,submitted
C0205,audio,"Ward-01, Bhubaneswar ରେ ମରା ପଶୁ ଉଠାଯାଇନି ସମସ୍ୟା ଅଛି।",or,"dead animal pickup in Ward-01, Bhubaneswar for the last 1 week.",sanitation,dead animal pickup,Bhubaneswar,Ward-01,2026-01-23 03:49:00,low,5,O006,Sanitation,0.98,0,submitted
C0206,text,"Health-related complaint about smoke nuisance in Ward-12, Bhubaneswar.",en,"Health-related complaint about smoke nuisance in Ward-12, Bhubaneswar.",health,smoke nuisance,Bhubaneswar,Ward-12,2026-03-01 15:43:00,high,1,O013,Public Health,0.43,2,in_progress
C0207,text,"Health-related complaint about mosquito breeding in Ward-03, Cuttack.",en,"Health-related complaint about mosquito breeding in Ward-03, Cuttack.",health,mosquito breeding,Cuttack,Ward-03,2026-03-08 17:16:00,low,5,O030,Public Health,0.48,1,submitted
C0208,text,"Need urgent repair for broken divider in Ward-16, Sambalpur.",en,"Need urgent repair for broken divider in Ward-16, Sambalpur.",roads,broken divider,Sambalpur,Ward-16,2026-03-13 14:36:00,high,2,O055,Roads & Works,0.32,0,in_progress
C0209,audio,"People are suffering due to manhole cover broken in Ward-05, Bhubaneswar.",en,"People are suffering due to manhole cover broken in Ward-05, Bhubaneswar.",drainage,manhole cover broken,Bhubaneswar,Ward-05,2026-03-15 01:18:00,medium,3,O009,Drainage,0.44,0,resolved
C0210,text,"no water supply has affected houses around Ward-05, Bhubaneswar.",en,"no water supply has affected houses around Ward-05, Bhubaneswar.",water,no water supply,Bhubaneswar,Ward-05,2026-02-02 03:52:00,low,3,O002,Water Supply,0.29,3,submitted
C0211,text,"Transport complaint: bus stop damage near bus stand in Ward-16, Sambalpur.",en,"Transport complaint: bus stop damage near bus stand in Ward-16, Sambalpur.",transport,bus stop damage,Sambalpur,Ward-16,2026-01-10 04:26:00,medium,3,O063,Traffic & Transport,0.83,1,in_progress
C0212,text,"Residents in Ward-06, Puri are facing contaminated water for 2 hours.",en,"Residents in Ward-06, Puri are facing contaminated water for 2 hours.",water,contaminated water,Puri,Ward-06,2026-01-06 17:16:00,low,3,O034,Water Supply,0.21,5,in_progress
C0213,text,"fallen tree creating danger in Ward-27, Cuttack.",en,"fallen tree creating danger in Ward-27, Cuttack.",public_safety,fallen tree,Cuttack,Ward-27,2026-02-25 01:24:00,medium,3,O028,Public Safety,0.9,0,in_progress
C0214,text,"bus stop damage at junction in Ward-21, Cuttack.",en,"bus stop damage at junction in Ward-21, Cuttack.",transport,bus stop damage,Cuttack,Ward-21,2026-01-05 15:32:00,medium,4,O032,Traffic & Transport,0.7,1,submitted
C0215,text,"illegal parking at junction in Ward-04, Sambalpur.",en,"illegal parking at junction in Ward-04, Sambalpur.",transport,illegal parking,Sambalpur,Ward-04,2026-02-26 02:01:00,high,3,O064,Traffic & Transport,0.52,0,resolved
C0216,audio,"Need urgent repair for broken divider in Ward-15, Puri.",en,"Need urgent repair for broken divider in Ward-15, Puri.",roads,broken divider,Puri,Ward-15,2026-02-18 03:49:00,low,8,O040,Roads & Works,0.57,3,submitted
C0217,text,"Ward-14, Cuttack में कम पानी का दबाव की समस्या है।",hi,There is low pressure near Ward-14 in Cuttack since 1 day.,water,low pressure,Cuttack,Ward-14,2026-01-05 05:57:00,medium,2,O018,Water Supply,0.31,3,submitted
C0218,audio,"damaged footpath on main road of Ward-03, Cuttack.",en,"damaged footpath on main road of Ward-03, Cuttack.",roads,damaged footpath,Cuttack,Ward-03,2026-03-06 22:26:00,low,10,O023,Roads & Works,0.85,3,in_progress
C0219,audio,"Ward-03, Cuttack में ट्रैफिक सिग्नल बंद की समस्या है।",hi,"traffic signal not working at junction in Ward-03, Cuttack.",transport,traffic signal not working,Cuttack,Ward-03,2026-03-08 23:58:00,low,8,O032,Traffic & Transport,0.65,1,submitted
C0220,audio,"Health-related complaint about stagnant water in Ward-15, Puri.",en,"Health-related complaint about stagnant water in Ward-15, Puri.",health,stagnant water,Puri,Ward-15,2026-01-13 02:26:00,low,7,O046,Public Health,0.89,2,in_progress
C0221,video,टूटा डिवाइडर के कारण लोगों को दिक्कत हो रही है।,hi,"broken divider on main road of Ward-09, Cuttack.",roads,broken divider,Cuttack,Ward-09,2026-01-16 12:32:00,low,11,O023,Roads & Works,0.29,3,in_progress
C0222,text,"blocked drain near Ward-16, Sambalpur after rain.",en,"blocked drain near Ward-16, Sambalpur after rain.",drainage,blocked drain,Sambalpur,Ward-16,2026-02-27 12:03:00,high,1,O057,Drainage,0.79,2,in_progress
C0223,video,"Ward-14, Cuttack ରେ ପାଣି ଯୋଗାଣ ବନ୍ଦ ସମସ୍ୟା ହେଉଛି।",or,There is no water supply near Ward-14 in Cuttack since 3 days.,water,no water supply,Cuttack,Ward-14,2026-02-22 21:55:00,high,1,O018,Water Supply,0.7,2,in_progress
C0224,audio,"Ward-12, Bhubaneswar में धुएँ की परेशानी की शिकायत है।",hi,"smoke nuisance observed in Ward-12, Bhubaneswar.",health,smoke nuisance,Bhubaneswar,Ward-12,2026-03-05 19:16:00,low,4,O013,Public Health,0.88,4,resolved
C0225,text,"broken divider on main road of Ward-06, Puri.",en,"broken divider on main road of Ward-06, Puri.",roads,broken divider,Puri,Ward-06,2026-03-05 01:32:00,low,7,O039,Roads & Works,0.23,2,submitted
C0226,text,Ward-10 ଅଞ୍ଚଳରେ ଦୁଷିତ ପାଣି ପଛଲା 5 ଘଣ୍ଟା ଧରି ଚାଲିଛି।,or,There is contaminated water near Ward-10 in Puri since 5 hours.,water,contaminated water,Puri,Ward-10,2026-01-05 16:49:00,high,3,O034,Water Supply,0.82,0,in_progress
C0227,audio,"pothole on main road of Ward-06, Puri.",en,"pothole on main road of Ward-06, Puri.",roads,pothole,Puri,Ward-06,2026-01-31 03:14:00,medium,4,O040,Roads & Works,0.46,1,resolved
C0228,text,There is low pressure near Ward-04 in Sambalpur since 5 hours.,en,There is low pressure near Ward-04 in Sambalpur since 5 hours.,water,low pressure,Sambalpur,Ward-04,2026-01-28 17:24:00,low,3,O049,Water Supply,0.4,0,resolved
C0229,text,"Transport complaint: traffic signal not working near bus stand in Ward-15, Puri.",en,"Transport complaint: traffic signal not working near bus stand in Ward-15, Puri.",transport,traffic signal not working,Puri,Ward-15,2026-01-15 14:49:00,high,1,O047,Traffic & Transport,0.21,1,resolved
C0230,text,Ward-07 क्षेत्र में चिंगारी वाली तार पिछले 2 घंटे से है।,hi,"sparking wire reported in Ward-07, Sambalpur for 2 hours.",electricity,sparking wire,Sambalpur,Ward-07,2026-02-09 12:45:00,medium,2,O051,Electrical,0.27,2,in_progress
C0231,audio,"manhole cover broken near Ward-21, Cuttack after rain.",en,"manhole cover broken near Ward-21, Cuttack after rain.",drainage,manhole cover broken,Cuttack,Ward-21,2026-01-11 10:34:00,medium,1,O026,Drainage,0.76,0,in_progress
C0232,audio,"Immediate action needed for fallen tree near Ward-19, Bhubaneswar.",en,"Immediate action needed for fallen tree near Ward-19, Bhubaneswar.",public_safety,fallen tree,Bhubaneswar,Ward-19,2026-02-07 16:24:00,high,2,O011,Public Safety,0.22,1,submitted
C0233,text,Ward-07 इलाके में सीवर ओवरफ्लो की समस्या है।,hi,"sewer overflow near Ward-07, Sambalpur after rain.",drainage,sewer overflow,Sambalpur,Ward-07,2026-03-16 23:35:00,medium,6,O057,Drainage,0.23,3,in_progress
C0234,text,"People are suffering due to sewer overflow in Ward-05, Bhubaneswar.",en,"People are suffering due to sewer overflow in Ward-05, Bhubaneswar.",drainage,sewer overflow,Bhubaneswar,Ward-05,2026-02-22 23:53:00,low,4,O009,Drainage,0.29,0,resolved
C0235,text,"power outage reported in Ward-11, Sambalpur for 2 hours.",en,"power outage reported in Ward-11, Sambalpur for 2 hours.",electricity,power outage,Sambalpur,Ward-11,2026-02-27 14:41:00,high,1,O052,Electrical,0.42,1,submitted
C0236,text,"Ward-20, Sambalpur में आवारा कुत्ते की समस्या से खतरा है।",hi,"stray dog issue creating danger in Ward-20, Sambalpur.",public_safety,stray dog issue,Sambalpur,Ward-20,2026-02-06 21:10:00,high,2,O060,Public Safety,0.39,3,submitted
C0237,audio,"unclean public toilet in Ward-10, Puri for the last 2 days.",en,"unclean public toilet in Ward-10, Puri for the last 2 days.",sanitation,unclean public toilet,Puri,Ward-10,2026-02-17 09:06:00,medium,3,O038,Sanitation,0.67,2,resolved
C0238,text,"People are suffering due to blocked drain in Ward-03, Cuttack.",en,"People are suffering due to blocked drain in Ward-03, Cuttack.",drainage,blocked drain,Cuttack,Ward-03,2026-01-04 11:35:00,medium,5,O026,Drainage,0.9,1,submitted
C0239,audio,"Complaint filed for manhole cover broken in Ward-09, Cuttack since 3 days.",en,"Complaint filed for manhole cover broken in Ward-09, Cuttack since 3 days.",drainage,manhole cover broken,Cuttack,Ward-09,2026-01-21 17:54:00,high,2,O026,Drainage,0.33,3,submitted
C0240,text,"Transport complaint: traffic signal not working near bus stand in Ward-14, Cuttack.",en,"Transport complaint: traffic signal not working near bus stand in Ward-14, Cuttack.",transport,traffic signal not working,Cuttack,Ward-14,2026-01-21 07:02:00,high,2,O032,Traffic & Transport,0.6,3,in_progress
C0241,text,"Residents in Ward-04, Sambalpur are facing low pressure for 1 week.",en,"Residents in Ward-04, Sambalpur are facing low pressure for 1 week.",water,low pressure,Sambalpur,Ward-04,2026-02-19 17:34:00,low,5,O050,Water Supply,0.49,0,in_progress
C0242,text,"damaged footpath on main road of Ward-20, Sambalpur.",en,"damaged footpath on main road of Ward-20, Sambalpur.",roads,damaged footpath,Sambalpur,Ward-20,2026-01-01 21:32:00,medium,8,O056,Roads & Works,0.33,2,submitted
C0243,text,कचरा नहीं उठाया गया के कारण Ward-14 क्षेत्र में परेशानी है।,hi,"garbage not collected in Ward-14, Cuttack for the last 5 hours.",sanitation,garbage not collected,Cuttack,Ward-14,2026-02-27 22:30:00,medium,3,O022,Sanitation,0.66,3,submitted
C0244,text,"overflowing bin in Ward-19, Bhubaneswar for the last 1 week.",en,"overflowing bin in Ward-19, Bhubaneswar for the last 1 week.",sanitation,overflowing bin,Bhubaneswar,Ward-19,2026-01-15 12:16:00,medium,2,O005,Sanitation,0.95,0,resolved
C0245,text,"Ward-06, Puri में चिंगारी वाली तार की शिकायत है।",hi,"sparking wire reported in Ward-06, Puri for 2 days.",electricity,sparking wire,Puri,Ward-06,2026-03-13 04:26:00,low,4,O035,Electrical,0.84,2,submitted
C0246,audio,"Transport complaint: traffic signal not working near bus stand in Ward-18, Puri.",en,"Transport complaint: traffic signal not working near bus stand in Ward-18, Puri.",transport,traffic signal not working,Puri,Ward-18,2026-01-18 14:33:00,medium,2,O047,Traffic & Transport,0.53,0,submitted
C0247,text,Ward-01 क्षेत्र में चिंगारी वाली तार पिछले 5 घंटे से है।,hi,"sparking wire reported in Ward-01, Bhubaneswar for 5 hours.",electricity,sparking wire,Bhubaneswar,Ward-01,2026-02-14 21:26:00,low,6,O003,Electrical,0.74,3,in_progress
C0248,text,"Immediate action needed for fallen tree near Ward-20, Sambalpur.",en,"Immediate action needed for fallen tree near Ward-20, Sambalpur.",public_safety,fallen tree,Sambalpur,Ward-20,2026-03-17 03:34:00,high,1,O059,Public Safety,0.35,0,in_progress
C0249,text,Ward-12 इलाके में पानी की सप्लाई बंद पिछले 1 दिन से है।,hi,There is no water supply near Ward-12 in Bhubaneswar since 1 day.,water,no water supply,Bhubaneswar,Ward-12,2026-02-20 06:16:00,medium,2,O001,Water Supply,0.53,2,resolved
C0250,video,"Citizens reported damaged footpath near school in Ward-16, Sambalpur.",en,"Citizens reported damaged footpath near school in Ward-16, Sambalpur.",roads,damaged footpath,Sambalpur,Ward-16,2026-01-27 12:36:00,medium,6,O056,Roads & Works,0.75,0,in_progress
C0251,text,"overflowing bin in Ward-04, Sambalpur for the last 2 days.",en,"overflowing bin in Ward-04, Sambalpur for the last 2 days.",sanitation,overflowing bin,Sambalpur,Ward-04,2026-02-03 12:40:00,low,3,O053,Sanitation,0.84,3,submitted
C0252,video,गड्ढा के कारण लोगों को दिक्कत हो रही है।,hi,"pothole on main road of Ward-10, Puri.",roads,pothole,Puri,Ward-10,2026-02-26 07:33:00,medium,8,O040,Roads & Works,0.95,1,in_progress
C0253,audio,There is low pressure near Ward-07 in Sambalpur since 2 hours.,en,There is low pressure near Ward-07 in Sambalpur since 2 hours.,water,low pressure,Sambalpur,Ward-07,2026-01-04 09:23:00,low,6,O049,Water Supply,0.2,2,in_progress
C0254,text,"Health-related complaint about stagnant water in Ward-15, Puri.",en,"Health-related complaint about stagnant water in Ward-15, Puri.",health,stagnant water,Puri,Ward-15,2026-02-17 05:18:00,medium,2,O045,Public Health,0.91,2,submitted
C0255,text,"traffic signal not working at junction in Ward-21, Cuttack.",en,"traffic signal not working at junction in Ward-21, Cuttack.",transport,traffic signal not working,Cuttack,Ward-21,2026-01-26 10:21:00,medium,5,O031,Traffic & Transport,0.95,5,submitted
C0256,text,ଧୂଆଁର ଅସୁବିଧା ଯୋଗୁଁ ସ୍ୱାସ୍ଥ୍ୟ ଝୁମ୍କି ରହିଛି।,or,"smoke nuisance observed in Ward-20, Sambalpur.",health,smoke nuisance,Sambalpur,Ward-20,2026-03-15 21:01:00,low,7,O062,Public Health,0.4,1,in_progress
C0257,text,"Public safety complaint: stray dog issue in Ward-21, Cuttack.",en,"Public safety complaint: stray dog issue in Ward-21, Cuttack.",public_safety,stray dog issue,Cuttack,Ward-21,2026-02-04 09:43:00,high,1,O028,Public Safety,0.26,4,submitted
C0258,text,"waterlogging near Ward-09, Cuttack after rain.",en,"waterlogging near Ward-09, Cuttack after rain.",drainage,waterlogging,Cuttack,Ward-09,2026-01-18 23:14:00,high,2,O025,Drainage,0.85,0,submitted
C0259,text,ଟ୍ରାଫିକ୍ ସିଗ୍ନାଲ୍ ବନ୍ଦ ଯୋଗୁଁ ଯାତାୟାତ ପ୍ରଭାବିତ ହେଉଛି।,or,"traffic signal not working at junction in Ward-19, Bhubaneswar.",transport,traffic signal not working,Bhubaneswar,Ward-19,2026-02-12 08:57:00,low,6,O016,Traffic & Transport,0.34,2,submitted
C0260,text,There is contaminated water near Ward-27 in Cuttack since 3 days.,en,There is contaminated water near Ward-27 in Cuttack since 3 days.,water,contaminated water,Cuttack,Ward-27,2026-03-15 18:43:00,high,2,O018,Water Supply,0.96,3,submitted
C0261,text,"Ward-05, Bhubaneswar में गंदा पानी की समस्या है।",hi,There is contaminated water near Ward-05 in Bhubaneswar since 2 hours.,water,contaminated water,Bhubaneswar,Ward-05,2026-02-17 03:16:00,medium,3,O002,Water Supply,0.57,2,submitted
C0262,text,"Need urgent repair for broken divider in Ward-16, Sambalpur.",en,"Need urgent repair for broken divider in Ward-16, Sambalpur.",roads,broken divider,Sambalpur,Ward-16,2026-01-12 12:36:00,medium,8,O055,Roads & Works,0.84,1,in_progress
C0263,text,"Need urgent repair for road damage in Ward-07, Sambalpur.",en,"Need urgent repair for road damage in Ward-07, Sambalpur.",roads,road damage,Sambalpur,Ward-07,2026-03-14 19:40:00,high,3,O056,Roads & Works,0.76,2,submitted
C0264,text,"There is stagnant water near residential area in Ward-01, Bhubaneswar.",en,"There is stagnant water near residential area in Ward-01, Bhubaneswar.",health,stagnant water,Bhubaneswar,Ward-01,2026-02-08 17:47:00,low,4,O014,Public Health,0.48,2,submitted
C0265,video,Ward-11 क्षेत्र में स्ट्रीट लाइट खराब पिछले 3 दिन से है।,hi,"street light failure reported in Ward-11, Sambalpur for 3 days.",electricity,street light failure,Sambalpur,Ward-11,2026-01-31 15:20:00,medium,3,O051,Electrical,0.77,4,in_progress
C0266,text,"Complaint about dead animal pickup near apartment block in Ward-07, Sambalpur.",en,"Complaint about dead animal pickup near apartment block in Ward-07, Sambalpur.",sanitation,dead animal pickup,Sambalpur,Ward-07,2026-01-30 15:14:00,medium,1,O054,Sanitation,0.71,3,submitted
C0267,audio,"Public safety complaint: unsafe construction debris in Ward-20, Sambalpur.",en,"Public safety complaint: unsafe construction debris in Ward-20, Sambalpur.",public_safety,unsafe construction debris,Sambalpur,Ward-20,2026-02-26 19:16:00,high,1,O059,Public Safety,0.78,3,submitted
C0268,text,"Transport complaint: traffic signal not working near bus stand in Ward-19, Bhubaneswar.",en,"Transport complaint: traffic signal not working near bus stand in Ward-19, Bhubaneswar.",transport,traffic signal not working,Bhubaneswar,Ward-19,2026-01-14 14:05:00,medium,1,O015,Traffic & Transport,0.44,2,submitted
C0269,text,"Complaint about overflowing bin near apartment block in Ward-27, Cuttack.",en,"Complaint about overflowing bin near apartment block in Ward-27, Cuttack.",sanitation,overflowing bin,Cuttack,Ward-27,2026-03-16 15:34:00,low,3,O022,Sanitation,0.55,5,submitted
C0270,text,"There is illegal dumping near residential area in Ward-20, Sambalpur.",en,"There is illegal dumping near residential area in Ward-20, Sambalpur.",health,illegal dumping,Sambalpur,Ward-20,2026-01-27 14:23:00,medium,5,O061,Public Health,0.32,1,submitted
C0271,text,There is contaminated water near Ward-16 in Sambalpur since 2 hours.,en,There is contaminated water near Ward-16 in Sambalpur since 2 hours.,water,contaminated water,Sambalpur,Ward-16,2026-01-21 01:50:00,low,7,O050,Water Supply,0.49,3,submitted
C0272,text,"There is stagnant water near residential area in Ward-21, Cuttack.",en,"There is stagnant water near residential area in Ward-21, Cuttack.",health,stagnant water,Cuttack,Ward-21,2026-03-05 17:34:00,medium,3,O029,Public Health,0.35,1,submitted
C0273,text,"illegal parking at junction in Ward-11, Sambalpur.",en,"illegal parking at junction in Ward-11, Sambalpur.",transport,illegal parking,Sambalpur,Ward-11,2026-01-03 05:11:00,high,3,O063,Traffic & Transport,0.41,0,submitted
C0274,text,There is no water supply near Ward-21 in Cuttack since 2 days.,en,There is no water supply near Ward-21 in Cuttack since 2 days.,water,no water supply,Cuttack,Ward-21,2026-02-09 21:44:00,medium,4,O018,Water Supply,0.26,1,submitted
C0275,text,"Urgent: sparking wire near market area of Ward-20, Sambalpur.",en,"Urgent: sparking wire near market area of Ward-20, Sambalpur.",electricity,sparking wire,Sambalpur,Ward-20,2026-01-11 17:49:00,low,6,O052,Electrical,0.5,2,in_progress
C0276,text,"Citizens reported pothole near school in Ward-12, Bhubaneswar.",en,"Citizens reported pothole near school in Ward-12, Bhubaneswar.",roads,pothole,Bhubaneswar,Ward-12,2026-01-27 23:59:00,low,9,O008,Roads & Works,0.69,0,submitted
C0277,text,गड्ढा के कारण लोगों को दिक्कत हो रही है।,hi,"pothole on main road of Ward-10, Puri.",roads,pothole,Puri,Ward-10,2026-01-02 14:10:00,low,10,O039,Roads & Works,0.29,0,resolved
C0278,audio,"garbage not collected in Ward-11, Sambalpur for the last 5 hours.",en,"garbage not collected in Ward-11, Sambalpur for the last 5 hours.",sanitation,garbage not collected,Sambalpur,Ward-11,2026-01-31 16:41:00,medium,3,O054,Sanitation,0.62,3,submitted
C0279,text,ट्रैफिक सिग्नल बंद के कारण यातायात प्रभावित है।,hi,"traffic signal not working at junction in Ward-06, Puri.",transport,traffic signal not working,Puri,Ward-06,2026-01-04 16:31:00,medium,4,O047,Traffic & Transport,0.43,1,in_progress
C0280,text,आवारा कुत्ते की समस्या के लिए तुरंत कार्रवाई चाहिए।,hi,"stray dog issue creating danger in Ward-15, Puri.",public_safety,stray dog issue,Puri,Ward-15,2026-01-23 19:34:00,high,1,O043,Public Safety,0.2,3,in_progress
C0281,text,"Public safety complaint: open electric box in Ward-19, Bhubaneswar.",en,"Public safety complaint: open electric box in Ward-19, Bhubaneswar.",public_safety,open electric box,Bhubaneswar,Ward-19,2026-02-12 18:49:00,high,1,O012,Public Safety,0.68,2,submitted
C0282,audio,"no water supply has affected houses around Ward-05, Bhubaneswar.",en,"no water supply has affected houses around Ward-05, Bhubaneswar.",water,no water supply,Bhubaneswar,Ward-05,2026-02-25 02:53:00,high,1,O001,Water Supply,0.58,2,submitted
C0283,text,"Ward-03, Cuttack में स्ट्रीट लाइट खराब की शिकायत है।",hi,"street light failure reported in Ward-03, Cuttack for 2 days.",electricity,street light failure,Cuttack,Ward-03,2026-03-10 16:40:00,low,6,O019,Electrical,0.64,4,resolved
C0284,text,Ward-19 ଅଞ୍ଚଳରେ ନାଳା ଜାମ୍ ସମସ୍ୟା ହେଉଛି।,or,"blocked drain near Ward-19, Bhubaneswar after rain.",drainage,blocked drain,Bhubaneswar,Ward-19,2026-01-09 14:06:00,low,5,O009,Drainage,0.5,1,in_progress
C0285,text,गैरकानूनी कचरा फेंकना के कारण स्वास्थ्य जोखिम है।,hi,"illegal dumping observed in Ward-03, Cuttack.",health,illegal dumping,Cuttack,Ward-03,2026-01-16 17:35:00,medium,1,O030,Public Health,0.46,3,resolved
C0286,text,ଅସୁରକ୍ଷିତ ନିର୍ମାଣ ଅବଶିଷ୍ଟ ପାଇଁ ତୁରନ୍ତ କାର୍ଯ୍ୟାନୁଷ୍ଠାନ ଦରକାର।,or,"unsafe construction debris creating danger in Ward-10, Puri.",public_safety,unsafe construction debris,Puri,Ward-10,2026-01-19 14:24:00,high,1,O044,Public Safety,0.95,3,submitted
C0287,text,"blocked drain near Ward-19, Bhubaneswar after rain.",en,"blocked drain near Ward-19, Bhubaneswar after rain.",drainage,blocked drain,Bhubaneswar,Ward-19,2026-01-26 23:14:00,low,4,O010,Drainage,0.22,3,resolved
C0288,text,"sparking wire reported in Ward-03, Cuttack for 5 hours.",en,"sparking wire reported in Ward-03, Cuttack for 5 hours.",electricity,sparking wire,Cuttack,Ward-03,2026-03-11 13:19:00,high,1,O020,Electrical,0.51,1,in_progress
C0289,text,कचरा नहीं उठाया गया के कारण Ward-16 क्षेत्र में परेशानी है।,hi,"garbage not collected in Ward-16, Sambalpur for the last 1 week.",sanitation,garbage not collected,Sambalpur,Ward-16,2026-03-08 02:21:00,medium,2,O054,Sanitation,0.52,2,in_progress
C0290,text,"illegal dumping observed in Ward-01, Bhubaneswar.",en,"illegal dumping observed in Ward-01, Bhubaneswar.",health,illegal dumping,Bhubaneswar,Ward-01,2026-02-13 04:44:00,medium,4,O013,Public Health,0.24,3,resolved
C0291,text,"broken divider on main road of Ward-12, Bhubaneswar.",en,"broken divider on main road of Ward-12, Bhubaneswar.",roads,broken divider,Bhubaneswar,Ward-12,2026-02-19 02:47:00,high,5,O007,Roads & Works,0.51,3,in_progress
C0292,text,"overflowing bin in Ward-21, Cuttack for the last 2 days.",en,"overflowing bin in Ward-21, Cuttack for the last 2 days.",sanitation,overflowing bin,Cuttack,Ward-21,2026-03-05 02:33:00,low,5,O021,Sanitation,0.26,2,in_progress
C0293,text,"sparking wire reported in Ward-12, Bhubaneswar for 1 day.",en,"sparking wire reported in Ward-12, Bhubaneswar for 1 day.",electricity,sparking wire,Bhubaneswar,Ward-12,2026-03-08 00:19:00,high,1,O004,Electrical,0.68,4,in_progress
C0294,text,"Ward-07, Sambalpur में पानी की सप्लाई बंद की समस्या है।",hi,There is no water supply near Ward-07 in Sambalpur since 1 day.,water,no water supply,Sambalpur,Ward-07,2026-01-22 01:39:00,high,1,O049,Water Supply,0.21,0,submitted
